ID,Sent1,Sent2,Score,Dataset,Domain
6815,Nine Pakistani troops killed in militant ambush,"Trade: Pakistan, India agree to take it a step ahead",0.8,STS2013-gold,headlines
6816,74 dead in Egypt soccer violence,At least 73 die in Egyptian soccer pitch invasion,3.2,STS2013-gold,headlines
6817,Unrest in tense Nigeria leaves at least 95 dead,Southwest China quakes kill at least 50,0.2,STS2013-gold,headlines
6818,Hurricane Sandy makes landfall in southeastern Jamaica: NHC,Hurricane Sandy reaches Jamaica,3.0,STS2013-gold,headlines
6819,"Gaza militants fire 40 rockets into Israel, 3 hurt: police",Gazans fire four rockets into Israel; no injuries,2.75,STS2013-gold,headlines
6820,Remarks With Prime Minister Elkeib After Their Meeting,Remarks With Foreign Minister Koichiro Gemba,1.5,STS2013-gold,headlines
6821,Iraq Releases Suspected Hezbollah Operative Wanted By U.S.,Iraq Said to Release Hezbollah Operative,3.2,STS2013-gold,headlines
6822,Pakistani PM shocked at avalanche trapping army personnel,Pakistan avalanche: rescuers search for buried soldiers,2.4,STS2013-gold,headlines
6823,Barrick in talks with China firm over African assets,Obama aide holds talks in China after Syria veto,1.2,STS2013-gold,headlines
6824,"the Republic Geagea also be elections,","Geagea also discussed the elections in Ba'bda 'Alay,",3.8,STS2013-gold,SMT
6825,Deputy Walid Junblatt a set of titles that read it indicators to what the situation.,Parliament Deputy Walid Junblatt released a set of statements that can be read as indicators of what the situation will lead to,4.0,STS2013-gold,SMT
6826,"The visit comes de fries of the Philippines as part of his Asian tour, which will also include Australia, Thailand and Indonesia.","The visit by de Vries to the Philippines is part of his Asian tour, which will also include Australia, Thailand and Indonesia.",2.6,STS2013-gold,SMT
6827,"It is said that suicide by hanging is the easiest, quickest and least expensive not to one, this is not a few to speak it in comparison","It is said that suicide by hanging is the easiest, quickest method and least expensive and not requiring anyone else, this is not to speak of less pain. In comparison",4.4,STS2013-gold,SMT
6828,"The PFLP said in a statement: "" abused in these results and not recognized.","The Front said in a statement: "" it challenges these results and they're not recognized.",3.8,STS2013-gold,SMT
6829,mexico wishes to guarantee citizens' safety. ,mexico wishes to avoid more violence.,4.0,STS2014-gold,deft-news
6830,spain currently holds the rotating presidency of the osce. ,spain currently holds the osce's presidency.,4.2,STS2014-gold,deft-news
6831,the treaty was first signed in 1990. ,the cfe treaty was signed in 1990.,4.2,STS2014-gold,deft-news
6832,gorgich and pashtoon were executed in prison. ,gorgich and pashtoon were executed for trafficking heroin in sistan-baluchestan province.,3.2,STS2014-gold,deft-news
6833,safe bourada was sentenced to 15 years in prison. ,djamel badaoui was sentenced to five years.,0.6,STS2014-gold,deft-news
6834,santos stated the radioactive material was the primary basis for generating crude weapons of mass destruction and terrorism. ,uranium is a radioactive material which is the primary basis for generating dirty weapons of mass destruction and terrorism.,3.6,STS2014-gold,deft-news
6835,fulvio berghella stated that the digital worm named sq hell was particularly virulent and replicated itself at the rate of 8000 times an hour. ,fulvio berghella stated that the digital worm named sq hell has a very high capacity to replicate itself and the digital worm named sq hell is slowing down the poste italiane computer network and making some computers inoperable.,3.6,STS2014-gold,deft-news
6836,ingo kober stated there is larger interest in intellectual property rights now than 20 or 30 years ago. ,ingo kober stated that some nations had stronger intellectual property rights than others.,2.0,STS2014-gold,deft-news
6837,investigators claim the british company was a cia cover. ,russian investigators stated that the british company was a cia cover.,4.4,STS2014-gold,deft-news
6838,russia and nato member countries will hold meetings this fall on the conventional forces in europe treaty (cfe). ,russian parliament voted unanimously to suspend russia's participation in the conventional forces in europe (cfe) treaty.,1.4,STS2014-gold,deft-news
6839,the united states government and other nato members have refused to ratify the amended treaty until officials in moscow withdraw troops from the former soviet republics of moldova and georgia. ,the united states and other nato members have refused ratify the amended treaty until russia completely withdraws from moldova and georgia.,4.6,STS2014-gold,deft-news
6840,russia would not immediately increase military strength along russian borders. ,russia would not hesitate to increase military strength along russian borders if the need arises.,2.0,STS2014-gold,deft-news
6841,the center will be operational in august 2008. ,the center will formally open in 2009.,2.2,STS2014-gold,deft-news
6842,brazilian police surrounding slums north of rio de janeiro to rid them of violent drug traffickers. ,the police officers surrounded the slums north of rio de janeiro to rid them of violent drug traffickers and seize weapons and drugs.,3.8,STS2014-gold,deft-news
6843,regional and international non-proliferation issues should be addressed through dialogue and negotiations. ,the second proposal was that regional and international non-proliferation issues should be addressed through dialogue and negotiations.,3.6,STS2014-gold,deft-news
6844,bombing occurred in afghanistan as attacks by anti-government insurgents increase in recent days. ,a bombing occurred in afghanistan but police have not yet stated who is responsible.,2.6,STS2014-gold,deft-news
6845,georgian government websites are under intense cyber attack following russian military strikes against georgia late last week. ,the cyber attacks follow russian military strikes launched against georgia late last week.,4.8,STS2014-gold,deft-news
6846,switzerland's trade and diplomatic relations with iran have been criticized in recent months after foreign minister micheline calmy-rey traveled to tehran in march 2008 to sign a deal with iran's state gas firm. ,switzerland's trade and diplomatic relations with the islamic republic have been criticized in recent months after foreign minister micheline calmy-rey traveled to tehran in march 2008 to sign a gas deal.,3.8,STS2014-gold,deft-news
6847,"the conventional forces in europe treaty limits the number of military aircraft, tanks and other non-nuclear heavy weapons in europe. ",the conventional forces in europe treaty was signed by russian and nato members in 1990.,2.8,STS2014-gold,deft-news
6848,the african union has proposed a peacekeeping mission to help somalia's struggling transitional government stabilize somalia. ,"the african union has proposed a peacekeeping mission to aid the struggling transitional government in stabilizing somalia, particularly after the withdrawal of ethiopian forces.",3.6,STS2014-gold,deft-news
6849,reports state that the syrian government was concealing a nuclear facility at the attacked site. ,u.n. experts have begun analyzing reports that state the syrian government was concealing a nuclear facility at the attacked site.,4.2,STS2014-gold,deft-news
6850,the drug is also known as ice or shabu. ,methamphetamine is also known as ice.,3.4,STS2014-gold,deft-news
6851,"national, regional and international efforts to end the illicit trade in small arms and light weapons. ",the global community must cooperate to end illicit trade of small arms and light weapons.,4.0,STS2014-gold,deft-news
6852,religious extremism continues in pakistan despite the banning of militant groups. ,religious extremism continues in pakistan despite the banning of militant groups by the pakistani government.,4.0,STS2014-gold,deft-news
6853,russian officials have called for a conference on the conventional forces in europe treaty to discuss ratification of the amended treaty. ,antonov spoke the day before a conference on the conventional forces in europe treaty.,3.2,STS2014-gold,deft-news
6854,russian president putin signs decree suspending russia's application of european arms control treaty. ,president vladimir putin signed a decree suspending russia's participation in the conventional forces in europe treaty.,4.4,STS2014-gold,deft-news
6855,myanmar was formerly known as burma. ,myanmar was formerly called burma.,5.0,STS2014-gold,deft-news
6856,alto huallaga is located northeast of the capital lima. ,"puerto cabezas is located 557 km northeast of managua, nicaragua.",0.0,STS2014-gold,deft-news
6857,nato regrets russia's decision to suspend participation in the cfe. ,russia's decision to suspend participation in the cfe is a step in the wrong direction.,3.8,STS2014-gold,deft-news
6858,"human rights violations in myanmar include summary executions, torture and the recruitment of child soldiers. ","these human rights violations include summary executions, torture and the recruitment of child",4.2,STS2014-gold,deft-news
6859,general nikolai n. urakov stated by telephone that the state scientific center of applied microbiology has quite reliable systems of protection in case of emergency. ,general nikolai n. urakov is the longtime director of the the state scientific center of applied microbiology.,2.4,STS2014-gold,deft-news
6860,alstom is in competition with japanese and german countries for the contract. ,alstom is competing against japanese company shinkansen and german company ice for the contract.,3.6,STS2014-gold,deft-news
6861,the legislation is the most recent effort by japan to ascribe more freedom to its tightly controlled military and would overturn a ban on the military use of space. ,the legislation is the most recent effort by japan to ascribe more freedom to the tightly controlled military technically known as a self-defense force.,3.8,STS2014-gold,deft-news
6862,south korea launches new bullet train reaching 300 kph. ,south korea has had a bullet train system since the 1980s.,2.0,STS2014-gold,deft-news
6863,russia is a member of the quartet on the middle east. ,russia is a member of the nsg.,2.2,STS2014-gold,deft-news
6864,anatoly sokolov announced-- soviet-built a-135 missile defense system around moscow is obsolete and inefficient. ,soviet-built a-135 missile defense system around moscow is obsolete and inefficient.,4.6,STS2014-gold,deft-news
6865,the deal has been in process for several years. ,the iaea has been investigating iran's nuclear activities for 4 years.,0.6,STS2014-gold,deft-news
6866,adherence to non-proliferation obligations will enhance mutual trust and foster international cooperation in nuclear energy. ,zhang yan stated that all countries should abide by non-proliferation obligations in order to enhance mutual trust and create a sound environment for international cooperation in nuclear energy.,3.2,STS2014-gold,deft-news
6867,french energy and transport company alstom may sign a contract to build a high-speed rail link between beijing and shanghai. ,alstom may sign a contract to build a high-speed rail link between beijing and shanghai.,4.0,STS2014-gold,deft-news
6868,no other drug has become as integral in decades. ,the drug has been around in other forms for years.,2.0,STS2014-gold,deft-news
6869,the international atomic energy agency reached an agreement with iranian officials that stated there were no remaining issues and ambiguities regarding iran's nuclear program and activities. ,the accord said that there were no remaining issues and ambiguities regarding iran's nuclear program and activities.,3.4,STS2014-gold,deft-news
6870,beijing police apprehend more than 20 people including 8 foreigners in suspicion of using and trafficking drugs in 2 pubs in a popular downtown area. ,beijing police apprehended more than 20 people in suspicion of using and trafficking drugs in 2 downtown bars.,3.8,STS2014-gold,deft-news
6871,russia ratified the updated treaty in 2004 but the united states and other nato members have refused to do so arguing that moscow must first fulfill obligations to withdraw forces from georgia and from moldova's separatist region of trans-dniester. ,russia has ratified the amended version but the united states and other nato members have refused to do so until the russian government withdraws troops from the former soviet republics of moldova and georgia.,4.2,STS2014-gold,deft-news
6872,there is conflicting opinion as to the extent of damage suffered by the insurgency. ,violence continues despite conflicting opinion on the extent of damage suffered by the rebel groups.,3.2,STS2014-gold,deft-news
6873,helmand province is the world's largest opium-producing region. ,helmand province is the world's largest producer of opium.,5.0,STS2014-gold,deft-news
6874,police stated tsai wen-huang would be extradited to taiwan. ,police stated that-- chung has been on the run.,1.8,STS2014-gold,deft-news
6875,2 of the individuals arrested were released. ,2 of the zambians arrested are juveniles.,1.6,STS2014-gold,deft-news
6876,mexican president felipe calderon has sent 2800 special agents and soldiers to sinaloa due to the high degree of organized crime and drug trafficking. ,mexican president felipe calderon has sent 2800 special agents and soldiers to sinaloa to fight drug trafficking.,4.6,STS2014-gold,deft-news
6877,berlin will host top-level meetings in october to save key european arms control treaty conventional forces in europe (cfe). ,russia suspended its participation in a key european arms control treaty that governs deployment of troops in europe.,1.8,STS2014-gold,deft-news
6878,the osce meeting lasted two days. ,the osce meeting was held in madrid.,1.8,STS2014-gold,deft-news
6879,the cfe treaty was signed in 1990. ,the cfe treaty was established in 1990.,4.8,STS2014-gold,deft-news
6880,iran insists that the program is aimed solely at peaceful pursuits such as the generation of ,iran insists that its nuclear program is for peaceful purposes,4.4,STS2014-gold,deft-news
6881,china is an important force for safeguarding world peace. ,china is an important force for promoting world development.,3.4,STS2014-gold,deft-news
6882,north korea denies involvement in any nuclear program in syria. ,north korea denies involvement in any syrian nuclear project.,4.4,STS2014-gold,deft-news
6883,a spokesman for stockwell day was not immediately available for ,chinese authorities were not immediately available for comment.,1.2,STS2014-gold,deft-news
6884,kim myong-chol warned that if there was an interdiction of north korean vessels the north korean government would retaliate with a nuclear missile attack on major cities such as new york and washington. ,kim myong-chol stated that north korea would retaliate with a nuclear missile attack on major cities such as new york and washington dc.,3.8,STS2014-gold,deft-news
6885,iran is the most prolific applier of the death penalty in the world after china. ,the islamic republic is the most prolific applier of the death penalty in the world after china.,3.8,STS2014-gold,deft-news
6886,john duncan is great britain's ambassador for multilateral arms control and disarmament. ,at un assembly chinese government urges increased efforts toward global arms control and disarmament.,1.4,STS2014-gold,deft-news
6887,the treaty was amended in 1999 after the collapse of the soviet union. ,the treaty was amended in 1999 to reflect changes since the soviet breakup.,4.0,STS2014-gold,deft-news
6888,kashmir is divided between india and pakistan. ,kashmir is claimed by both india and pakistan.,4.4,STS2014-gold,deft-news
6889,south korea and israel oppose proliferation of weapons of mass destruction and an arms race. ,china will resolutely oppose the proliferation of mass destructive weapons.,1.4,STS2014-gold,deft-news
6890,kadhafi warns that us and britain's failure to compensate libya for nuclear disarmament will deter iran and north korea from disarming. ,western countries' failure to sufficiently compensate libya will deter iran and north korea from disarming.,3.4,STS2014-gold,deft-news
6891,russia ratified the amended treaty. ,russia ratified the updated treaty in 2004.,3.4,STS2014-gold,deft-news
6892,a staff of 30 specialists will conduct research and training on cyber warfare and will be prepared to assist nato members with response to any future cyber attacks. ,a staff of 30 specialists will conduct research and training on cyber warfare.,3.4,STS2014-gold,deft-news
6893,jamaat-i-islami's youth wing staged a separate demonstration in kashmir. ,jamaat-i-islami's youth wing's demonstration was against a us attack on iraq.,3.0,STS2014-gold,deft-news
6894,iran is the most prolific applier of the death penalty in the world after china. ,the islamic republic is the most prolific applier of the death penalty in the world after china.,3.8,STS2014-gold,deft-news
6895,china will resolutely oppose the means of the delivery of mass destructive weapons. ,china has always opposed the proliferation of weapons of mass destruction.,4.4,STS2014-gold,deft-news
6896,a breakdown of order in china will lead to significant global turmoil. ,a breakdown of order in china will be worse than in afghanistan or yugoslavia.,3.4,STS2014-gold,deft-news
6897,north korea has claimed nuclear ambitions and currently north korea is reported to have missiles aimed at japan. ,north korea has boasted of nuclear ambitions and north korea is now reported to have missiles trained on,4.0,STS2014-gold,deft-news
6898,abuja is the capital of ,tskhinvali is the capital of georgia.,0.8,STS2014-gold,deft-news
6899,the united states government has accused the iranian government of trying to develop nuclear weapons under the cover of a civilian nuclear program. ,the us and allies have accused iran of attempting to develop nuclear weapons under the guise of a civilian nuclear program.,4.6,STS2014-gold,deft-news
6900,tirana is the capital of ,abuja is the capital of,1.0,STS2014-gold,deft-news
6901,"in an armed clash iranian police kill 4 alleged drug traffickers, arrest 2, and seize nearly 5 metric tons of opium and morphine. ",during armed clashes in southeastern iran police seized nearly 5 metric tons (5.5 tons) of opium and morphine.,3.2,STS2014-gold,deft-news
6902,iran's nuclear projects are for peaceful purposes. ,iran insists that its nuclear program is for peaceful purposes,3.6,STS2014-gold,deft-news
6903,china will resolutely oppose the proliferation of mass destructive weapons. ,china will resolutely oppose the means of the delivery of mass destructive weapons.,4.2,STS2014-gold,deft-news
6904,china is north korea's closest ally. ,north korea is a reclusive state.,1.2,STS2014-gold,deft-news
6905,libyan foreign minister abdel rahman shalgam visited london during the first visit by a libyan foreign minister since 1969. ,shalgam's visit to london is the first by a libyan foreign minister since 1969.,4.2,STS2014-gold,deft-news
6906,goff stated that this presents a major threat to global security. ,it presents a major threat to global security.,3.6,STS2014-gold,deft-news
6907,cambodia and vietnam finalized an agreement to stop asian and european drug traffickers. ,syrian and russian officials signed an agreement of cooperation in combating drug trafficking.,2.0,STS2014-gold,deft-news
6908,activists have stated that russia is imprisoning people without evidence of illegal activity. ,russia imprisons people without evidence of illegal activity.,4.2,STS2014-gold,deft-news
6909,restraining extremist groups is becoming increasingly difficult because of how the groups are financed. ,bruguiere stated-- restraining extremist groups particularly across europe was becoming increasingly difficult because of how the groups are financed.,3.8,STS2014-gold,deft-news
6910,zabol is a town in southeastern iran. ,khoramabad is a city in western iran.,1.2,STS2014-gold,deft-news
6911,"detainees to be accused of homicide, criminal collaboration, kidnapping and the funding of terrorism and include members of the military and police. ","iguaran stated that the detainees will be accused of homicide, criminal collaboration, kidnappings and the funding of terrorism.",3.25,STS2014-gold,deft-news
6912,existing rods could produce 3-6 atomic bombs in 6-8 months. ,experts stated that the rods could produce 3-6 atomic bombs in 6-8 months.,4.2,STS2014-gold,deft-news
6913,the international atomic energy agency may have been tricked because it was eager for a deal. ,the international atomic energy agency plan draws out negotiations for many months.,2.4,STS2014-gold,deft-news
6914,myanmar government has stated myanmar will become opium-free by 2014. ,myanmar government stated myanmar is on track to be drug-free by 2014.,4.6,STS2014-gold,deft-news
6915,jewish-american group the anti-defamation league (adl) published full-page advertisements in swiss and international papers in april 2008 accusing switzerland of funding terrorism through the deal. ,the anti-defamation league took out full-page advertisments in swiss and international newspapers earlier in april 2008 accusing switzerland of funding terrorism through the deal.,4.4,STS2014-gold,deft-news
6916,"france provides the rockets, guns and engines. ",britain provides fuel tanks and gearboxes.,1.8,STS2014-gold,deft-news
6917,"capital offenses in saudi arabia include rape, murder, apostasy, armed robbery and drug trafficking. ","capital offences in iran include murder, rape, armed robbery, serious drug trafficking and adultery.",3.2,STS2014-gold,deft-news
6918,bae systems is the uk's largest defense company. ,bae systems is the uk's largest military,3.4,STS2014-gold,deft-news
6919,lavrov has told us secretary of state condoleezza rice that russia remains open to dialogue. ,u.s. secretary of state condoleezza rice demanded russia withdraw its forces.,2.8,STS2014-gold,deft-news
6920,additional individuals and entities are subject to an assets freeze. ,the resolution includes a broadened list of individuals and entities subject to an assets freeze.,3.8,STS2014-gold,deft-news
6921,withdrawal from the treaty would allow russia to bolster forces near russian borders. ,withdrawal from the conventional forces in europe treaty would allow russia to bolster forces near russian borders.,3.4,STS2014-gold,deft-news
6922,fan stated the commission is primarily concerned with the term of future investment in taiwan. ,fan stated the commission will ensure the commitments are upheld once the investments are under way.,1.8,STS2014-gold,deft-news
6923,government spokesman maseko stated that if administrative papers are in order the government of south africa cannot intervene to prevent weapons from being transported through its territory to a neighboring landlocked country. ,spokesman themba maseko stated as long as administrative papers are in order south africa cannot intervene to prevent weapons being transported through south african territory to zimbabwe.,2.8,STS2014-gold,deft-news
6924,president dmitry medvedev's statement was posted on the kremlin website and carried in full by state news agencies. ,the statement was posted on the kremlin web site and carried by state news agencies.,3.2,STS2014-gold,deft-news
6925,turkmenistan borders afghanistan. ,sistan-baluchestan borders afghanistan and pakistan.,1.8,STS2014-gold,deft-news
6926,the number of executions increased in iran last year amid a campaign that is aimed at improving security in society. ,the number of executions increased dramatically in 2007 amid a campaign which iranian authorities state is aimed at improving security in society.,3.4,STS2014-gold,deft-news
6927,syria denies having an undeclared nuclear program. ,syria denies the existence of an undeclared nuclear program.,5.0,STS2014-gold,deft-news
6928,amnesty international is a rights group based in london. ,the international institute for strategic studies is located in london.,1.4,STS2014-gold,deft-news
6929,the number 254 was tabulated with an afp count compiled from press and witness reports. ,the number of executions in iran in 2007 was calculated by an afp count compiled from press reports.,2.2,STS2014-gold,deft-news
6930,the iranian government stated-- the iranian nuclear program remains peaceful. ,the iranian government says the nuclear program is peaceful.,5.0,STS2014-gold,deft-news
6931,shingarev said it is very difficult to make a nuclear weapon from the plutonium in this fuel. ,donohue said it is very difficult to manipulate radioactive isotopes without leaving a trail.,0.6,STS2014-gold,deft-news
6932,paris is the capital of france. ,lima is the capital of,0.6,STS2014-gold,deft-news
6933,an indian government official spoke on condition of anonymity. ,the official spoke on condition of anonymity.,3.4,STS2014-gold,deft-news
6934,russia had threatened several times to withdraw from the cfe when it was at odds with the united states over u.s. plans to install a missile defense shield in eastern ,russia has repeatedly threatened withdrawal from the cfe in opposition to plans for the extension of the us missile defense shield to eastern europe.,4.6,STS2014-gold,deft-news
6935,the plan for tunisia is the creation of electronic databases to facilitate tax collection. ,the plan for nigeria and mozambique is the creation an electronic database for real estate.,1.8,STS2014-gold,deft-news
6936,china has been praised by the international community for efforts to resolve the korean peninsula nuclear issue. ,china has been praised especially by the asia-pacific states for efforts to resolve the korean peninsula nuclear issue.,4.2,STS2014-gold,deft-news
6937,the russian foreign ministry stated that russia has not suspended dialogue. ,russian officials stated that russia will not reconsider the suspension.,2.6,STS2014-gold,deft-news
6938,arms smugglers and drug cartels must be eliminated from southeast asia. ,arms smugglers and drug cartels abet terrorists.,2.8,STS2014-gold,deft-news
6939,the new law attempts to remove any legal obstacles to building more advanced spy satellites and to help innovation in japans's space industry. ,the purpose of the new law is to remove any legal obstacles to building more advanced spy satellites and to encourage innovation in japans's space industry.,4.8,STS2014-gold,deft-news
6940,zhang stated-- china opposes restricting the peaceful use of nuclear energy by non-nuclear-weapon states on the basis of non-proliferation because the peaceful use of nuclear energy is a crucial objective of the npt. ,zhang yan stated that china opposes using non-proliferation as a pretext for restricting and depriving non-nuclear-weapon states of the right to peaceful use of nuclear energy.,4.4,STS2014-gold,deft-news
6941,non-proliferation expert at the international institute for strategic studies mark fitzpatrick stated that the iaea report -- had an unusually strong tenor. ,senior fellow at the international institute for strategic studies mark fitzpatrick stated that-- the international atomic energy agency plan is superficial.,4.0,STS2014-gold,deft-news
6942,"the treaty limits the number of aircraft, tanks and other non-nuclear heavy weapons around europe. ","the conventional forces in europe treaty limits the number of military aircraft, tanks and other non-nuclear heavy weapons in europe.",4.2,STS2014-gold,deft-news
6943,estonian officials stated that some of the cyber attacks that caused estonian government websites to shut down temporarily came from computers in the administration of russia including in the office of president vladimir putin. ,officials in estonia including prime minister andrus ansip have claimed that some of the cyber attacks came from russian government computers including computers in the office of russian president vladimir putin.,3.8,STS2014-gold,deft-news
6944,britain has struck an agreement to supply saudi arabia with typhoon jets in a deal worth an estimated 8 billion pounds (about 13.9 billion us dollars). ,the uk agreed to supply saudi arabia with typhoon jets in a deal worth an estimated 8 billion pounds (approximately 13.9 billion us dollars) to the uk defense company bae systems.,3.2,STS2014-gold,deft-news
6945,opium is the raw ingredient for heroin. ,the poppies yielded the raw ingredient for heroin.,3.4,STS2014-gold,deft-news
6946,wi sung-lac refused to give any details about the north korean nuclear reactor project. ,south korea has so far taken a cautious stance on the issue of the north korean nuclear reactor project.,3.0,STS2014-gold,deft-news
6947,the agreement aimed to establish a wider cooperation covering national security and the fight against global terrorism. ,in a statement the british ministry of defense stated-- the agreement aims to establish wider cooperation covering national security and the fight against global terrorism.,3.4,STS2014-gold,deft-news
6948,many of those executed in iran are hanged in public. ,many of the people executed are hanged in public.,3.4,STS2014-gold,deft-news
6949,the united states and the allies of the united states believe iran is pursuing nuclear arms. ,the united states and some european nations believe that iran's nuclear projects are for the purpose of making nuclear weapons.,3.8,STS2014-gold,deft-news
6950,the cfe is very important for european security. ,the cfe is a cornerstone of european security.,5.0,STS2014-gold,deft-news
6951,indian troops already fighting rebels in kashmir are now engaged in a massive campaign to destroy poppy crops in the region. ,indian troops already fighting rebels are now also engaged in a massive operation to destroy poppy crops in kashmir.,5.0,STS2014-gold,deft-news
6952,the matter is delicate. ,the iaea report is restricted.,0.0,STS2014-gold,deft-news
6953,last week russia announced that it will suspend participation in the cfe. ,nato regrets russia's decision to suspend participation in the cfe.,2.4,STS2014-gold,deft-news
6954,"the u.s., other western nations and nato condemned the violence. ","the u.s., other western nations and nato demanded a cease-fire.",3.6,STS2014-gold,deft-news
6955,indian nationals constitute the largest number of foreign inmates in nepal prisons. ,drug traffickers from foreign countries constitute the largest percentage of foreign inmates in nepal.,2.0,STS2014-gold,deft-news
6956,the judicial order accused raghad of funding terrorism. ,the court accused raghad saddam hussein of funding terrorism.,4.2,STS2014-gold,deft-news
6957,myanmar's military rulers burned approximately 250 million dollars worth of illegal drugs to mark the international day against drug abuse and illicit trafficking. ,myanmar's military rulers incinerated the drugs to mark the international day against drug abuse and illicit trafficking.,3.75,STS2014-gold,deft-news
6958,iranian officials have increased executions in 2007 as officials enforce a campaign purportedly aimed at promoting virtue and boosting security in society. ,the number of executions increased in iran last year amid a campaign that is aimed at improving security in society.,4.0,STS2014-gold,deft-news
6959,india accuses islamabad of funding and training guerrillas. ,india accuses pakistan of funding and training the cross-border guerrillas.,3.0,STS2014-gold,deft-news
6960,the ensuing battle and airstrikes killed at least 10 militants. ,an ensuing battle killed at least 10 militants.,3.6,STS2014-gold,deft-news
6961,the panamanian foreign ministry communique stated that the task force will facilitate the technological transfer and promote the biofuel production and consumption. ,the panamanian foreign ministry communique stated that panama and brazil signed 3 juridical-issue treaties that included an extradition,1.8,STS2014-gold,deft-news
6962,vietnam has among the world's harshest drug laws. ,vietnam's drug laws are among the world's strictest laws.,4.8,STS2014-gold,deft-news
6963,"the indian government has prohibited direct or indirect export and import of all items, materials, goods and technology that could contribute to iran's enrichment-related, reprocessing or heavy water-related activities. ","india has prohibited direct or indirect export and import of all items, materials, goods and technology that could contribute to iran's nuclear weapons delivery systems.",3.2,STS2014-gold,deft-news
6964,"the vietnam news agency reported that the ministry of public security stated that foreigners involved in drug trafficking cases in vietnam came mostly from laos, cambodia, australia, china, the united states and taiwan. ",the vietnam news agency reported that the ministry of public security stated that police admitted that drug trafficking into vietnam is increasing but actions to prevent and stop the drug trafficking along the borders remained limited.,3.8,STS2014-gold,deft-news
6965,saferworld team leader on transfer controls and small arms roy isbister stated-- the eu embargo prohibits direct or indirect supply of military equipment for use in myanmar. ,saferworld team leader on transfer controls and small arms roy isbister stated that -- the eu embargo explicitly states that no military equipment should be supplied either directly or indirectly for use in myanmar.,5.0,STS2014-gold,deft-news
6966,the united states and other nato members have refused to ratify the amended treaty. ,the united states and other nato members have refused to do ratify the updates cfe.,3.2,STS2014-gold,deft-news
6967,"the cfe limits the use of armed forces and heavy weaponry and prescribes measures aimed at confidence-building, transparency and cooperation between member states. ","the treaty limits deployments of tanks and troops in nato and former easter european warsaw pact countries and establishes confidence-building, transparency and cooperation measures between member",3.8,STS2014-gold,deft-news
6968,bulgaria is located on the southeastern part of the balkan peninsula. ,drug-trafficking activity is rampant in the southeastern part of the balkan peninsula.,1.0,STS2014-gold,deft-news
6969,elbaradei stated that this is the last chance to build security in the middle east based on trust and cooperation and not on possession of nuclear weapons. ,this is the last chance to build security in the middle east based on trust and cooperation rather than on the possession of nuclear arms.,4.0,STS2014-gold,deft-news
6970,the iranian government has dismissed the allegations in the intelligence presented to the international atomic energy agency board as baseless and the intelligence used to support the allegations as fake. ,the international atomic energy agency insists that the iranian government's simple denials of the intelligence presented to the international atomic energy agency board are not good enough to allay western countries suspicions.,2.2,STS2014-gold,deft-news
6971,the cfe treaty was established in 1990. ,the treat was originally signed in 1990.,3.2,STS2014-gold,deft-news
6972,the conventional forces in europe treaty is considered a key arms control treaty. ,the conventional forces in europe treaty was a key soviet-era arms control treaty.,4.0,STS2014-gold,deft-news
6973,nicaragua commemorated the 25th anniversary of the sandinista revolution that toppled the dictatorship of anastasio somoza but imposed a cuban-style leftist regime. ,nicaragua commemorated the 25th anniversary of the sandinista revolution.,3.8,STS2014-gold,deft-news
6974,13 kurds from turkey were arrested near paris on suspicion of money-laundering for the kurdistan workers' party (pkk). ,10 kurds are under investigation in france on suspicion of money-laundering for a terrorist organization known as kurdistan workers' party (pkk).,2.6,STS2014-gold,deft-news
6975,the meetings lasted 2 days. ,the osce meeting lasted two days.,3.4,STS2014-gold,deft-news
6976,the villagers are inadvertently involving themselves in drug trafficking. ,105 inmates are serving sentences for drug trafficking.,1.4,STS2014-gold,deft-news
6977,the russian government strongly opposes u.s. plans to install antimissile defenses in europe and dismisses u.s. assertions that the interceptors are needed to defend against threats from iran. ,after talks at nato headquarters baluyevsky repeated russia's opposition to u.s. plans to install antimissile defenses in europe and dismissed u.s. assertions that the interceptors were needed to defend against potential threats from iran.,3.2,STS2014-gold,deft-news
6978,"hong kong universities collaborate with universities, businesses and government sectors of mainland china to coordinate training programs and research centers to promote high-tech research, commercialization, and technology transfer. ","hong kong universities have collaborated with tertiary education, business and government sectors of mainland china to direct training programs and research centers to promote research commercialization and technology transfer.",5.0,STS2014-gold,deft-news
6979,the chinese government gave active cooperation and assistance to the organization for the prohibition of chemical weapons inspections. ,the ecuadorian foreign ministry said in a statement that delegates from the organization for the prohibition of chemical weapons (opaq) will also take part in the meeting.,1.0,STS2014-gold,deft-news
6980,the mexican government has adopted a series of measures against drug trafficking and organized crime within mexico since 2006. ,since 2006 mexico has adopted a series of measures against drug trafficking and organized crimes.,5.0,STS2014-gold,deft-news
6981,the statement did not specify the quantity of warheads the missile is capable of carrying. ,the statement did not specify how many warheads the missile can carry.,5.0,STS2014-gold,deft-news
6982,it is a serious threat to international security. ,it presents a major threat to global security.,4.2,STS2014-gold,deft-news
6983,nicaragua commemorated the 25th anniversary of the sandinista revolution. ,nicaragua has not reconciled how to approach the anniversary of the sandinista revolution.,2.4,STS2014-gold,deft-news
